1410904957 5 0 0 0
1411186981 5 0 59 0
1411325440 5 32 59 0
1416445668 5 32 59 44
1417729772 5 36 59 44
1417730758 5 41 59 44
1417731589 5 63 59 44
1418238276 4688 63 59 44
1418605681 4699 63 59 44
1419128831 4762 63 59 44
1419215133 4913 63 59 44
1419738133 5883 63 59 44
1423368306 5883 63 59 44
1425091236 5940 63 59 44
1425092329 5995 63 59 44
1425503151 6003 63 59 44
1425679068 6046 63 59 44
1425681043 6046 63 59 44
1425683139 6047 63 59 44
1442931839 9179 63 59 44
1449263517 9692 63 59 44
1449264960 9749 63 59 44
1449266153 10329 63 59 44
1449267151 10656 63 59 44
1449267417 10657 63 59 44
1449268103 10829 63 59 44
1449273913 11285 63 59 44
1449275373 11285 87 59 44
1449275395 11285 87 59 44
1451999743 11285 87 59 44
1452000317 11402 87 59 44
1452000340 11402 87 59 44
