1410904957 1 0 0 0
1411186981 1 0 1 0
1411325440 1 1 1 0
1416445668 1 1 1 1
1417729772 1 2 1 1
1417730758 1 3 1 1
1417731589 1 4 1 1
1418238276 2 4 1 1
1418605681 3 4 1 1
1419128831 4 4 1 1
1419215133 5 4 1 1
1419738133 6 4 1 1
1423368306 7 4 1 1
1425091236 8 4 1 1
1425092329 9 4 1 1
1425503151 10 4 1 1
1425679068 11 4 1 1
1425681043 12 4 1 1
1425683139 13 4 1 1
1442931839 14 4 1 1
1449263517 15 4 1 1
1449264960 16 4 1 1
1449266153 17 4 1 1
1449267151 18 4 1 1
1449267417 19 4 1 1
1449268103 20 4 1 1
1449273913 21 4 1 1
1449275373 21 5 1 1
1449275395 21 6 1 1
1451999743 22 6 1 1
1452000317 23 6 1 1
1452000340 24 6 1 1
